id,name,neighbourhood_cleansed,room_type_simple,accommodates,bedrooms,bathrooms,price_clean,price_category,latitude,longitude,review_scores_rating,number_of_reviews,host_is_superhost,minimum_nights,capacity_type
50574505,CopApVibes,Copacabana,Casa/Apto Inteiro,4,1.0,1.0,361.0,Médio-Baixo,-22.9638,-43.18149,4.4,5,f,3,Médio (3-4)
1357897338511179396,Quarto no Rio de Janeiro (Catete),Catete,Quarto Privado,2,1.0,1.0,124.0,Muito Baixo,-22.9254,-43.17703,5.0,24,t,1,Pequeno (1-2)
1364500452236158139,Studio em Copacabana P6,Copacabana,Casa/Apto Inteiro,2,1.0,1.0,,,-22.98533,-43.19135,0.0,0,f,3,Pequeno (1-2)
995631844448213106,Espaço Grajaú - Quarto 4,Grajaú,Quarto Privado,2,1.0,2.0,125.0,Muito Baixo,-22.9214,-43.25491,5.0,4,t,1,Pequeno (1-2)
1397365638784064885,Apartamento em Copacabana / RJ,Copacabana,Casa/Apto Inteiro,2,1.0,1.0,180.0,Baixo,-22.96949,-43.18688,5.0,1,t,3,Pequeno (1-2)
1214076276812744960,Suíte na Barra pé na areia.,Barra da Tijuca,Quarto Privado,2,1.0,1.0,300.0,Baixo,-23.00921,-43.35897,5.0,3,t,3,Pequeno (1-2)
1353035615242765417,Casa ampla 2 andares | Ambientes climatizados,Rio Comprido,Casa/Apto Inteiro,8,3.0,1.0,268.0,Baixo,-22.92541,-43.21464,4.5,4,f,1,Grande (5+)
1061069875222329684,Apartamento/Resort Vista Mar Barra da Tijuca.,Barra da Tijuca,Casa/Apto Inteiro,4,1.0,1.0,476.0,Médio-Baixo,-23.01116,-43.38597,5.0,2,f,5,Médio (3-4)
854562460657776546,Pontal Beach Resort Vista Mar,Recreio dos Bandeirantes,Casa/Apto Inteiro,4,1.0,1.0,403.0,Médio-Baixo,-23.031847907906155,-43.4724750598203,4.0,4,f,2,Médio (3-4)
1153034101381290130,Wonder in Barra da Tijuca |3 bedrooms| Pp101 Z10,Barra da Tijuca,Casa/Apto Inteiro,6,3.0,1.0,,,-23.0148,-43.31102,4.48,31,f,1,Grande (5+)
1139792356181596252,"Studio com Mar, Piscina e Academia no coração de C",Copacabana,Casa/Apto Inteiro,4,1.0,1.0,243.0,Baixo,-22.96156,-43.17448,4.47,15,t,2,Médio (3-4)
21514235,Apartamento aconchegante no coração de Ipanema.,Ipanema,Casa/Apto Inteiro,4,2.0,2.0,686.0,Médio,-22.98359,-43.20461,4.88,143,t,3,Médio (3-4)
13441363,Two bedroom place in front of Riocentro,Jacarepaguá,Casa/Apto Inteiro,3,2.0,2.0,291.0,Baixo,-22.97785,-43.40835,4.9,21,f,3,Médio (3-4)
1431097826023420058,Resort beira-mar: Piscina/Sauna/Gym/Jacuzzi/Garage,Recreio dos Bandeirantes,Casa/Apto Inteiro,4,1.0,1.0,276.0,Baixo,-23.03113862022129,-43.47342945635319,5.0,1,,2,Médio (3-4)
955121379308336947,Suíte Premium Rio Stay | RioCentro | Barra,Camorim,Quarto Privado,2,1.0,1.0,226.0,Baixo,-22.975340405383676,-43.4141927723526,5.0,6,t,1,Pequeno (1-2)
1381978645218845714,apto na praia de copacabana,Copacabana,Casa/Apto Inteiro,2,1.0,1.0,229.0,Baixo,-22.965172162697076,-43.17438553921255,3.0,1,f,2,Pequeno (1-2)
40392836,"Cobertura Alto Luxo com Terraço, BBQ e Piscina - 4 Quartos",Copacabana,Casa/Apto Inteiro,8,4.0,2.0,1650.0,Médio-Alto,-22.9812,-43.19579,4.79,87,t,2,Grande (5+)
904356583041842910,Suíte p. até 4 pessoas na Gigóia Frente pra Lagoa,Barra da Tijuca,Quarto Privado,4,1.0,1.0,968.0,Médio,-23.00329,-43.3079,0.0,0,f,1,Médio (3-4)
1261926323787477602,Conjugado super aconchegante!,Copacabana,Casa/Apto Inteiro,4,1.0,1.0,,,-22.97293934440634,-43.18828985095024,0.0,0,f,2,Médio (3-4)
1060325365094829283,Apto completo e confortável!,Copacabana,Casa/Apto Inteiro,2,1.0,1.0,800.0,Médio,-22.9846625320423,-43.19322172037258,5.0,3,f,1,Pequeno (1-2)
1299536696583098629,Apartamento Tradicional no Posto 6,Copacabana,Casa/Apto Inteiro,4,1.0,1.0,286.0,Baixo,-22.985821,-43.1898476,4.68,28,f,1,Médio (3-4)
1391471805301852460,"Copacabana Breeze, 180 m2 de puro conforto!",Copacabana,Casa/Apto Inteiro,7,3.0,2.0,1600.0,Médio-Alto,-22.97301092032091,-43.18890776485205,5.0,1,f,2,Grande (5+)
641259596763635718,Quarto encantador no Jardim Botânico. 3,Jardim Botânico,Quarto Privado,2,1.0,1.0,76.0,Muito Baixo,-22.964188,-43.2210287,4.79,68,f,2,Pequeno (1-2)
11031580,Barra da Tijuca - The most beautiful beach in Rio,Barra da Tijuca,Quarto Compartilhado,2,1.0,1.0,523.0,Médio-Baixo,-23.01019,-43.31939,4.86,7,f,1,Pequeno (1-2)
1022337752471031444,Aconchegante Ap. em Copacabana,Copacabana,Casa/Apto Inteiro,6,2.0,2.0,394.0,Médio-Baixo,-22.96158634828072,-43.17629836499691,4.85,34,t,2,Grande (5+)
746274978766387145,Seu Cantinho em Copa entre Praia e Metrô,Copacabana,Quarto Privado,1,1.0,1.0,97.0,Muito Baixo,-22.97519,-43.18945,4.98,165,t,1,Pequeno (1-2)
